HAND_ID,NS_ETAB_ID,CO_ETUDE_ID,TE_LM,CO_VALEUR,DT_DEBUT,DT_FIN,SW_LM_1,SW_LM_2,SW_LM_3,SW_LM_1_OBG,SW_LM_2_OBG,SW_LM_3_OBG
1,29,GT11C,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
2,29,GT11D,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
3,29,GT12C,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
4,29,GT12S,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
5,29,GT2D ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
6,29,GT21 ,Anglais,EN,2014-09-01,9999-12-31,N,O,N,N,N,N
7,29,GT21 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
8,29,GT22 ,Anglais,EN,2014-09-01,9999-12-31,N,O,N,N,N,N
9,29,GT22 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
10,29,GT31 ,Anglais,EN,2014-09-01,9999-12-31,N,O,N,N,N,N
11,29,GT31 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
12,29,GT32 ,Anglais,EN,2014-09-01,9999-12-31,N,O,N,N,N,N
13,29,GT32 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
14,29,TQ3C ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
15,29,TQ31 ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
16,29,TQ32 ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
17,29,TQ33 ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
18,29,TT21 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
19,29,TT22 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
20,29,TT31 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
21,29,TT32 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
22,30,GT11C,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
23,30,GT11D,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
